Category 1,Category  2,Product Name,Product Style,Product Description,ADV Image 1,ADV Image 2,SKU,Image,Short Description,Barcode,Size,Material,Color,Icon 1,Icon 2,Icon 3,Price
,,"Ornamental Steel 2 Rail Single Gate - Ameristar Montage Majestic - Black, WMB246F-96",variation, Majestic Flush 2 Rail Montage Single Gate Black,S_WMB246F-48P.jpg,,WMB246F-96,S_WMB246F-48P.jpg,"48""Hx96""W Majestic Flush 2 Rail Montage Single Gate Black",11229,"48""Hx96""W ",,,,,,382.74
,,"Ornamental Steel 2 Rail Single Gate - Ameristar Montage Majestic - Black, WMB246F-42P",variation, Res Majestic Flush 2R Montage Single Gate Black,S_WMB246F-48P.jpg,,WMB246F-42P,S_WMB246F-48P.jpg,"48""Hx36""W Res Majestic Flush 2R Montage Single Gate Black",11230,"48""Hx36""W ",,,,,,331.03
,,"Ornamental Steel 2 Rail Single Gate - Ameristar Montage Majestic - Black, WMB246F-84",variation, Majestic Flush 2 Rail Montage Single Gate Black,S_WMB246F-48P.jpg,,WMB246F-84,S_WMB246F-48P.jpg,"48""Hx84""W Majestic Flush 2 Rail Montage Single Gate Black",11231,"48""Hx84""W ",,,,,,381.16
,,"Ornamental Steel 2 Rail Single Gate - Ameristar Montage Majestic - Black, WMB246F-72P",variation, Majestic Flush 2 Rail Montage Single Gate Black,S_WMB246F-48P.jpg,,WMB246F-72P,S_WMB246F-48P.jpg,"48""Hx72""W Majestic Flush 2 Rail Montage Single Gate Black",11232,"48""Hx72""W ",,,,,,440.37
,,"Ornamental Steel 2 Rail Single Gate - Ameristar Montage Majestic - Black, WMB246F-48P",variation, Majestic Flush 2 Rail Montage Single Gate Black,S_WMB246F-48P.jpg,,WMB246F-48P,S_WMB246F-48P.jpg,"48""Hx48""W Majestic Flush 2 Rail Montage Single Gate Black",11233,"48""Hx48""W ",,,,,,349.14
,,"Ornamental Steel 2 Rail Single Gate - Ameristar Montage Majestic - Black, WMB246F-60P",variation, Majestic Flush 2 Rail Montage Single Gate Black,S_WMB246F-48P.jpg,,WMB246F-60P,S_WMB246F-48P.jpg,"48""Hx60""W Majestic Flush 2 Rail Montage Single Gate Black",11234,"48""Hx60""W ",,,,,,438.32
,,"Ornamental Steel 2 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB246F-60AP",variation, Majestic Flush 2 Rail Montage Arched Gate Black,S_1WMB246F-48A.jpg,,WMB246F-60AP,S_1WMB246F-48A.jpg,"48""Hx60""W Majestic Flush 2 Rail Montage Arched Gate Black",11236,"48""Hx60""W ",,,,,,507.89
,,"Ornamental Steel 2 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB246F-48AP",variation, Res Majestic Flush 2R Montage Arched Gate Black,S_1WMB246F-48A-1.jpg,,WMB246F-48AP,S_1WMB246F-48A-1.jpg,"48""Hx48""W Res Majestic Flush 2R Montage Arched Gate Black",11237,"48""Hx48""W ",,,,,,381.25
,,"Ornamental Steel 2 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB246F-72AP",variation, Majestic Flush 2 Rail Montage Arched Gate Black,S_1WMB246F-48A.jpg,,WMB246F-72AP,S_1WMB246F-48A.jpg,"48""Hx72""W Majestic Flush 2 Rail Montage Arched Gate Black",11238,"48""Hx72""W ",,,,,,510.37
,,"Ornamental Steel 2 Rail Arched Gate - Ameristar Montage Majestic - Black, WMB246F-42AP",variation, Majestic Flush 2 Rail Montage Arched Gate Black,S_1WMB246F-48A.jpg,,WMB246F-42AP,S_1WMB246F-48A.jpg,"48""Hx36""W Majestic Flush 2 Rail Montage Arched Gate Black",11239,"48""Hx36""W ",,,,,,399.61
